segment id,excitatory synapses,inhibitory synapses,cortical layer,cell type
3081760966,1668,484,Layer 2,pyramidal neuron
6542796969,8,2,Layer 5,microglia/opc
7372790093,1125,398,White matter,pyramidal neuron
45136686165,69,153,Layer 1,interneuron
93545703088,0,1,White matter,oligodendrocyte
38646396009,328,158,Layer 2,microglia/opc
57391786698,1,0,Layer 4,oligodendrocyte
36899284177,19,32,Layer 1,astrocyte
54857754331,354,172,Layer 3,interneuron
28654873477,886,316,Layer 3,pyramidal neuron
7166360639,682,307,White matter,unclassified neuron
22194659671,57,88,Layer 3,astrocyte
96415017824,0,0,White matter,oligodendrocyte
65600133534,63,73,Layer 5,interneuron
77227480256,0,0,White matter,oligodendrocyte
32835941647,995,320,Layer 4,pyramidal neuron
30123500761,385,290,Layer 5,pyramidal neuron
2788310365,3874,1039,Layer 3,pyramidal neuron
14880040893,5,2,White matter,oligodendrocyte
6901689253,105,82,White matter,unknown cell
8330162552,0,0,White matter,oligodendrocyte
86829257600,0,1,Layer 3,oligodendrocyte
30633599988,1092,450,Layer 5,pyramidal neuron
432570011,96,69,Layer 1,microglia/opc
5003251969,978,338,Layer 4,pyramidal neuron
84957584994,0,0,White matter,oligodendrocyte
59966614509,56,48,Layer 6,astrocyte
82227664548,3,1,Layer 3,microglia/opc
37407705346,851,253,Layer 2,pyramidal neuron
39370590309,18,15,Layer 4,oligodendrocyte
3473447213,1,0,Layer 3,oligodendrocyte
38907957616,640,265,Layer 2,pyramidal neuron
84015002006,2,2,Layer 5,unknown cell
4532355153,559,220,Layer 5,interneuron
38073875507,149,104,Layer 4,pyramidal neuron
59696363851,0,3,Layer 2,oligodendrocyte
6634738266,707,255,Layer 3,oligodendrocyte
77878230324,1,19,Layer 3,oligodendrocyte
5857541580,245,131,Layer 5,interneuron
75006915121,0,0,Layer 4,oligodendrocyte
40538173909,0,1,Layer 3,microglia/opc
4796545315,2657,1003,Layer 5,pyramidal neuron
986693191,412,441,Layer 1,interneuron
33007898378,0,0,Layer 5,oligodendrocyte
42639098614,1,0,White matter,oligodendrocyte
3892992905,5115,1137,Layer 5,pyramidal neuron
42159176804,0,0,White matter,oligodendrocyte
5344916317,0,1,White matter,microglia/opc
60317023836,323,168,Layer 5,pyramidal neuron
42354466085,2,2,Layer 5,oligodendrocyte
40123636616,654,241,Layer 6,excitatory/spiny neuron with atypical tree
5518697962,2,0,White matter,oligodendrocyte
31854797989,912,250,Layer 6,excitatory/spiny neuron with atypical tree
2291876765,507,220,Layer 4,pyramidal neuron
27492165924,105,108,Layer 2,astrocyte
41998071021,5,2,White matter,astrocyte
4041820656,122,271,Layer 3,interneuron
36138366897,8,17,Layer 2,microglia/opc
6626212719,0,0,White matter,oligodendrocyte
36999972927,452,371,Layer 2,interneuron
92051786987,5,1,Layer 4,oligodendrocyte
28059065338,1842,771,Layer 3,pyramidal neuron
42934461667,62,85,Layer 6,astrocyte
2092148422,1328,474,Layer 2,excitatory/spiny neuron with atypical tree
51171996230,1,0,White matter,oligodendrocyte
45832657542,1,2,Layer 3,oligodendrocyte
2790762931,175,82,Layer 2,microglia/opc
36968463637,4,7,Layer 3,microglia/opc
29036148987,976,298,Layer 2,pyramidal neuron
5905813583,121,127,Layer 3,astrocyte
39590627896,377,330,Layer 3,interneuron
6121834307,3481,1350,Layer 5,interneuron
86733680007,1,0,White matter,microglia/opc
42859178746,103,118,White matter,interneuron
5252184832,20,25,Layer 2,microglia/opc
36938326906,2412,616,Layer 3,pyramidal neuron
72665061068,2,4,Layer 2,oligodendrocyte
3791836424,1505,593,Layer 4,pyramidal neuron
1886377633,2,1,Layer 3,microglia/opc
45152964910,24,55,Layer 1,interneuron
87956341996,0,0,White matter,oligodendrocyte
43141517161,0,2,Layer 5,astrocyte
23714858913,0,0,White matter,oligodendrocyte
4233006294,458,299,Layer 2,pyramidal neuron
5710758898,46,10,Layer 6,microglia/opc
42263837022,3,3,White matter,oligodendrocyte
36505700145,23,44,Layer 1,astrocyte
4123249408,697,357,White matter,pyramidal neuron
15000265035,3,8,Layer 5,oligodendrocyte
36284756264,1476,467,Layer 2,interneuron
23792315772,3,5,Layer 5,microglia/opc
76288897805,3,4,Layer 4,oligodendrocyte
39069986061,6,11,Layer 1,astrocyte
43255170948,7,1,Layer 6,oligodendrocyte
51142280850,3,7,White matter,microglia/opc
1829403525,551,302,Layer 2,pyramidal neuron
1496165980,45,95,Layer 1,interneuron
67022416846,0,0,White matter,oligodendrocyte
32788095239,1,0,Layer 6,microglia/opc
8372477797,3,4,White matter,unknown cell
67086324929,1,1,Layer 5,oligodendrocyte
39105758195,1,0,Layer 5,oligodendrocyte
44916444503,17,27,Layer 2,astrocyte
3736556766,0,0,Layer 3,oligodendrocyte
5115007917,3350,771,Layer 6,pyramidal neuron
41584845747,366,125,Layer 4,pyramidal neuron
6044275305,4,3,White matter,oligodendrocyte
4626036197,5177,1490,Layer 3,pyramidal neuron
3164474933,660,424,Layer 4,excitatory/spiny neuron with atypical tree
33809449225,114,262,Layer 5,unclassified neuron
78582948401,0,0,White matter,oligodendrocyte
6646799895,1,1,Layer 4,oligodendrocyte
59609533118,671,316,Layer 2,interneuron
21016812131,17,48,Layer 2,interneuron
2575076408,176,144,Layer 1,interneuron
7381477265,0,0,White matter,oligodendrocyte
5131011976,993,211,Layer 5,pyramidal neuron
3934137728,59,56,Layer 5,unclassified neuron
82035647008,7,7,Layer 4,oligodendrocyte
37737789400,132,105,Layer 3,astrocyte
29314429987,3,4,Layer 2,microglia/opc
4722533363,772,325,Layer 5,pyramidal neuron
76811219416,0,6,Layer 5,oligodendrocyte
37318668413,1669,1148,Layer 2,interneuron
15703012249,20,50,Layer 3,astrocyte
55802029750,1,1,Layer 4,pyramidal neuron
4084586329,60,56,Layer 3,microglia/opc
33286441094,1402,478,Layer 4,pyramidal neuron
2089331373,551,301,Layer 3,interneuron
50433242632,0,0,Layer 5,oligodendrocyte
40274188418,619,237,Layer 3,interneuron
52048112505,0,0,Layer 6,oligodendrocyte
68698991895,0,0,White matter,oligodendrocyte
47319900010,0,1,Layer 3,oligodendrocyte
29051128715,53,62,Layer 2,astrocyte
39051704670,2,1,Layer 3,microglia/opc
49732700190,0,0,Layer 5,oligodendrocyte
5476149164,214,131,White matter,astrocyte
84491914559,1,0,White matter,microglia/opc
4522237537,519,201,Layer 4,pyramidal neuron
51497582657,35,16,Layer 4,pyramidal neuron
35775328266,651,351,Layer 2,pyramidal neuron
38218410795,104,68,Layer 4,interneuron
29079499713,212,106,Layer 3,astrocyte
6515303407,1,0,Layer 5,oligodendrocyte
94142360532,0,0,White matter,oligodendrocyte
23471721676,2,3,Layer 5,oligodendrocyte
5603164510,928,418,Layer 2,excitatory/spiny neuron with atypical tree
6761739115,1,1,Layer 5,oligodendrocyte
60124306276,2,1,White matter,oligodendrocyte
22987757102,0,1,White matter,oligodendrocyte
3985270416,1686,814,Layer 2,pyramidal neuron
38481535607,486,175,Layer 4,pyramidal neuron
30952793370,158,115,Layer 5,astrocyte
85474444698,46,45,Layer 4,oligodendrocyte
60980509944,2,0,White matter,oligodendrocyte
31650284631,1394,490,Layer 6,excitatory/spiny neuron with atypical tree
3062428854,290,153,Layer 4,unknown cell
4429870422,664,206,Layer 5,unclassified neuron
47554918418,56,44,Layer 2,astrocyte
28669868788,187,90,Layer 3,astrocyte
2921967137,0,0,Layer 2,oligodendrocyte
61447802129,0,0,White matter,oligodendrocyte
